game_id,inn_ct,bunt_fl,bat_id,pit_id,runs_scored,away_team_id,home_team_id,away_score_final,home_score_final,win_team_id,loss_team_id,OPS,SH_rate_bat
HOU202209070,10,TRUE,dubom001,hernj004,1,TEX,HOU,3,4,TEX,HOU,0.548,0.013888888888888888
KCA202107280,10,TRUE,albeh001,burrr002,1,CHA,KCA,2,3,CHA,KCA,0.693,0.015686275
KCA202109010,10,FALSE,merrw001,parkb001,0,CLE,KCA,5,3,CLE,KCA,0.712,0
KCA202204090,10,FALSE,dozih001,clase001,1,CLE,KCA,0,1,CLE,KCA,0.679,0
LAN202104250,10,FALSE,turnj001,hillt002,0,SDN,LAN,8,7,SDN,LAN,0.832,0
LAN202207080,10,FALSE,freef001,wickr001,1,CHN,LAN,3,4,CHN,LAN,0.918,0
MIA202105210,10,FALSE,dickc002,diaze006,0,NYN,MIA,6,5,NYN,MIA,0.704,0
MIA202105210,11,FALSE,coopg002,smitd009,0,NYN,MIA,6,5,NYN,MIA,0.845,0
MIA202107060,10,FALSE,coopg002,treib001,1,LAN,MIA,1,2,LAN,MIA,0.845,0
MIA202108250,10,TRUE,brinl001,finnk001,1,WAS,MIA,3,4,WAS,MIA,0.639,0.003448276
MIA202109080,10,TRUE,sierm002,diaze006,1,NYN,MIA,1,2,NYN,MIA,0.549,0.004444444
MIA202109200,10,FALSE,sancj003,clays001,1,WAS,MIA,7,8,WAS,MIA,0.808,0
MIA202207140,10,FALSE,wendj002,banum001,0,PIT,MIA,2,3,PIT,MIA,0.657,0.002695418
MIL202104010,10,FALSE,narvo001,dobnr001,1,MIN,MIL,5,6,MIN,MIL,0.744,0
MIL202105110,10,FALSE,garca003,reyea004,0,SLN,MIL,6,1,SLN,MIL,0.82,0
MIL202105270,10,TRUE,hiurk001,diazm004,1,SDN,MIL,5,6,SDN,MIL,0.557,0.010152284
MIL202105310,10,TRUE,hiurk001,cisnj001,1,DET,MIL,2,3,DET,MIL,0.557,0.010152284
MIL202106250,10,FALSE,urial001,lawrj002,0,COL,MIL,4,5,COL,MIL,0.79,0.001763668
MIL202106250,11,FALSE,adamw002,gilbl001,1,COL,MIL,4,5,COL,MIL,0.887,0
MIL202108060,10,FALSE,tellr001,garcj006,1,SFN,MIL,1,2,SFN,MIL,0.814,0
MIL202207040,10,FALSE,mccua001,effrs001,3,CHN,MIL,2,5,CHN,MIL,0.7,0
MIL202207220,11,FALSE,urial001,estec001,0,COL,MIL,5,6,COL,MIL,0.739,0
MIL202207220,12,FALSE,yelic001,birdj001,0,COL,MIL,5,6,COL,MIL,0.738,0.001490313
MIL202207220,13,FALSE,wongk001,birdj001,1,COL,MIL,5,6,COL,MIL,0.769,0.004024145
MIL202208100,10,FALSE,yelic001,thomr007,1,TBA,MIL,3,4,TBA,MIL,0.738,0.001490313
MIL202208160,10,FALSE,yelic001,vesia001,0,LAN,MIL,4,5,LAN,MIL,0.738,0.001490313
MIL202210020,11,TRUE,renfh001,brazh001,0,MIA,MIL,4,3,MIA,MIL,0.807,0.003831418
MIN202106210,11,FALSE,polaj001,hendr003,0,CIN,MIN,5,7,CIN,MIN,0.826,0
MIN202106210,12,FALSE,arral001,hembh001,2,CIN,MIN,5,7,CIN,MIN,0.733,0
MIN202107110,10,FALSE,cruzn002,holld003,3,DET,MIN,9,12,DET,MIN,0.907,0
MIN202107260,10,FALSE,sanom001,sotog003,1,DET,MIN,5,6,DET,MIN,0.778,0
MIN202107270,10,FALSE,cavej001,cisnj001,0,DET,MIN,6,5,DET,MIN,0.542,0.005617978
MIN202108160,10,FALSE,gordn001,wittn001,1,CLE,MIN,4,5,CLE,MIN,0.647,0
MIN202108180,10,FALSE,arral001,wittn001,0,CLE,MIN,7,8,CLE,MIN,0.733,0
MIN202108180,11,TRUE,simma001,garzj001,1,CLE,MIN,7,8,CLE,MIN,0.557,0.006651885
MIN202109100,10,FALSE,arral001,sante001,0,KCA,MIN,6,4,KCA,MIN,0.733,0
MIN202206210,10,FALSE,buxtb001,stept002,0,CLE,MIN,6,5,CLE,MIN,0.832,0
MIN202208050,10,FALSE,cavej001,romaj004,1,TOR,MIN,5,6,TOR,MIN,0.644,0
MIN202208270,10,TRUE,gordn001,leond003,1,SFN,MIN,2,3,SFN,MIN,0.743,0.006772009
NYA202105080,11,FALSE,stanm004,raint003,1,WAS,NYA,3,4,WAS,NYA,0.87,0
NYA202106010,10,FALSE,odorr001,kitta001,0,TBA,NYA,3,5,TBA,NYA,0.665,0.002770083
NYA202106010,11,FALSE,andum001,kitta001,2,TBA,NYA,3,5,TBA,NYA,0.667,0
NYA202107210,10,TRUE,torrg001,suarr001,1,PHI,NYA,5,6,PHI,NYA,0.697,0.003875969
NYA202108060,11,FALSE,torrg001,middk001,1,SEA,NYA,2,3,SEA,NYA,0.697,0.003875969
NYA202109030,11,FALSE,stanm004,tated001,1,BAL,NYA,3,4,BAL,NYA,0.87,0
NYA202109130,10,FALSE,urshg001,garzr001,1,MIN,NYA,5,6,MIN,NYA,0.72,0
NYA202204080,11,FALSE,donaj001,crawk001,1,BOS,NYA,5,6,BOS,NYA,0.682,0
NYA202205240,10,FALSE,judga001,tated001,0,BAL,NYA,6,7,BAL,NYA,1.111,0
NYA202206050,10,FALSE,rizza001,sotog003,1,DET,NYA,4,5,DET,NYA,0.818,0
NYA202206100,10,FALSE,judga001,wickr001,0,CHN,NYA,1,2,CHN,NYA,1.111,0
NYA202206100,11,FALSE,torrg001,hughb002,0,CHN,NYA,1,2,CHN,NYA,0.761,0.001748252
NYA202206100,12,FALSE,lemad001,hughb002,0,CHN,NYA,1,2,CHN,NYA,0.734,0.001848429
NYA202206100,13,FALSE,donaj001,milla003,1,CHN,NYA,1,2,CHN,NYA,0.682,0
NYA202206260,10,TRUE,kinei001,marts003,3,HOU,NYA,3,6,HOU,NYA,0.641,0.005649718
NYA202207130,10,FALSE,judga001,diaza004,1,CIN,NYA,6,7,CIN,NYA,1.111,0
NYA202207150,10,FALSE,judga001,houct001,0,BOS,NYA,5,4,BOS,NYA,1.111,0
NYA202209071,10,FALSE,trevj001,duraj002,0,MIN,NYA,4,5,MIN,NYA,0.671,0
NYA202209071,11,FALSE,judga001,fulmm001,0,MIN,NYA,4,5,MIN,NYA,1.111,0
NYA202209220,10,FALSE,torrg001,ort-k001,1,BOS,NYA,4,5,BOS,NYA,0.761,0.001748252
NYN202105070,10,FALSE,smitd008,crics001,1,ARI,NYN,4,5,ARI,NYN,0.667,0
NYN202107310,10,FALSE,drurb001,cessl001,1,CIN,NYN,4,5,CIN,NYN,0.783,0
NYN202109140,10,FALSE,mccaj001,reyea004,0,SLN,NYN,7,6,SLN,NYN,0.643,0
NYN202204191,10,FALSE,mcnej002,garcj006,1,SFN,NYN,4,5,SFN,NYN,0.836,0
NYN202205290,10,FALSE,lindf001,knebc001,1,PHI,NYN,4,5,PHI,NYN,0.788,0
NYN202209280,10,FALSE,canhm001,flord002,1,MIA,NYN,4,5,MIA,NYN,0.77,0
OAK202104070,10,FALSE,lowrj001,nelsj004,1,LAN,OAK,3,4,LAN,OAK,0.716,0
OAK202107030,10,FALSE,brows003,workb001,0,BOS,OAK,6,7,BOS,OAK,0.754,0
OAK202107030,11,FALSE,olsom001,workb001,0,BOS,OAK,6,7,BOS,OAK,0.911,0
OAK202108060,10,FALSE,chapm001,patts002,0,TEX,OAK,1,4,TEX,OAK,0.717,0
OAK202108060,11,FALSE,canhm001,hergj001,3,TEX,OAK,1,4,TEX,OAK,0.745,0
OAK202208100,11,FALSE,murps001,barrj003,0,ANA,OAK,5,4,ANA,OAK,0.758,0
OAK202208200,10,FALSE,brows003,castd002,1,SEA,OAK,3,4,SEA,OAK,0.749,0
OAK202208240,10,FALSE,bolts001,bleir001,1,MIA,OAK,2,3,MIA,OAK,0.589,0
OAK202208270,11,FALSE,murps001,trivl001,1,NYA,OAK,2,3,NYA,OAK,0.758,0
OAK202210030,10,TRUE,pachc001,weisz001,1,ANA,OAK,4,5,ANA,OAK,0.459,0.011538461538461539
OAK202210040,10,TRUE,kempt001,teper001,1,ANA,OAK,1,2,ANA,OAK,0.641,0.008960573
PHI202104010,10,FALSE,realj001,jonen001,1,ATL,PHI,2,3,ATL,PHI,0.782,0
PHI202106120,10,TRUE,jankt001,chapa001,1,NYA,PHI,7,8,NYA,PHI,0.715,0.012820513
PHI202107020,10,FALSE,jankt001,adama002,1,SDN,PHI,3,4,SDN,PHI,0.715,0.012820513
